total,train,val,test,val_loss,test_loss,mean_px_err,median_px_err,epochs,time_min
1374,1030,344,344,4.437936771747678,4.449509703835775,7.859012746187144,6.439209938049316,118,7.7970000823338825
1000,750,250,344,4.6559226885437965,4.677552167759385,8.208896802261819,6.681231498718262,114,5.552124985059103
700,525,175,344,5.143625844608653,4.657942189726719,8.148205009440696,6.542750358581543,110,3.785610592365265
500,375,125,344,4.497316062450409,4.891847987507665,8.477563524662061,7.015808343887329,98,2.39153337876002
300,225,75,344,5.192870306968689,4.858207297879596,8.40133709651093,6.740031480789185,105,1.5537883122762044
200,150,50,344,5.310138889721462,5.138110399246216,8.88447736714815,7.1663994789123535,156,1.5386833389600119
100,75,25,344,5.08484947681427,6.504637795825337,10.905933549021219,8.368086338043213,93,0.48419445753097534
50,37,13,344,4.343648195266724,6.496956132179083,11.031663652249547,9.229174613952637,75,0.21040749947230022
