total,train,val,test,val_loss,test_loss,mean_px_err,median_px_err,epochs,time_min
1374,1030,344,344,0.00021818041839355299,0.00021959495964882418,8.4831429254567,6.129360806316859,140,11.904113113880157
1000,750,250,344,0.00022045146670279792,0.00022197774405656166,8.31661460169314,6.301037077165011,138,8.365818492571513
700,525,175,344,0.0002261894643941725,0.00022781641238780561,9.326119501105335,6.49088919784802,142,5.929836837450663
500,375,125,344,0.00022479870676761493,0.0002304049994563684,9.02421526091929,6.954565101349729,182,5.440896387894949
300,225,75,344,0.000239850499201566,0.0002451050992064221,14.37579578857764,7.49507703916267,193,3.5869489669799806
200,150,50,344,0.00024811437885676114,0.0002543656872910296,39.77807043486876,9.15082302056152,249,3.0896679878234865
100,75,25,344,0.00027319045329932123,0.0002703896688492319,116.1514223575051,148.50898123806812,300,1.904570762316386
50,37,13,344,0.00039097176340874285,0.0003931979319827934,158.92484333478768,160.3793287537444,300,0.9221565246582031
