total,train,val,test,val_loss,test_loss,mean_px_err,median_px_err,epochs,time_min
606,454,152,152,5.511012478878624,5.648142739346153,9.518489758435049,7.4615702629089355,114,3.5696879744529726
500,375,125,152,4.968857929110527,5.375950750551726,9.103014929906317,7.5754899978637695,129,3.3241521239280702
300,225,75,152,6.1759024381637575,5.9774434315530875,10.362528097472692,7.7401793003082275,92,1.4459546128908793
200,150,50,152,5.785768917628697,6.489541016126934,11.024672166689447,8.603182792663574,90,0.9421160578727722
100,75,25,152,6.811789870262146,6.887601262644718,11.864249317661711,9.867629051208496,87,0.48304489453633626
50,37,13,152,8.75951862335205,7.284441847550242,12.294071606899562,9.495705127716064,90,0.26333046356836953
