total,train,val,test,val_loss,test_loss,mean_px_err,median_px_err,epochs,time_min
1374,1030,344,344,0.00022075258345657223,0.00022229838434086982,8.008572144985683,6.373583570596777,108,11.837534145514171
1000,750,250,344,0.00022324616293190047,0.00022333359980663327,9.024245007118868,6.327486183186185,109,8.649650450547536
700,525,175,344,0.00022285557100655171,0.00022768893997932157,11.556234267719283,6.4980036864945525,141,7.804253359635671
500,375,125,344,0.00022531525610247627,0.0002265180952489636,10.331411747026863,7.137942949212368,144,5.75833463271459
300,225,75,344,0.00023314521240536124,0.00023237459949044468,31.25740948854232,8.791302336186625,172,4.15116579135259
200,150,50,344,0.00022769306711519936,0.0002349703535464657,20.788436605181158,8.227500439318472,213,3.4245292067527773
100,75,25,344,0.00024277660122606903,0.00023975284522410135,112.94883175667036,147.43167013107734,300,2.4854301691055296
50,37,13,344,0.0002463188720867038,0.00024698457381482303,137.8666438221225,157.8879050596135,300,1.250142753124237
