total,train,val,test,val_loss,test_loss,mean_px_err,median_px_err,epochs,time_min
1374,1030,344,344,4.497913582380428,4.627305416173713,8.069481899658609,6.516757488250732,142,9.112453432877858
1000,750,250,344,4.6287344843149185,4.661503453587377,8.125410001118516,6.493883848190308,256,11.924704964955648
700,525,175,344,5.207996119152416,4.781201221222101,8.310592321505727,6.910001516342163,186,6.061193029085795
500,375,125,344,4.93180251121521,5.372805745102639,9.262732608547044,8.173606872558594,130,3.048671007156372
300,225,75,344,6.426170015335083,5.801667052646016,9.93277136466011,8.775104522705078,127,1.8351864417394002
200,150,50,344,6.730620162827628,6.427542564480803,10.957698220430418,9.263023376464844,134,1.2829659581184387
100,75,25,344,6.650391101837158,7.808003336884255,13.124020868609119,10.677186012268066,138,0.673855185508728
50,37,13,344,7.210301399230957,11.322868968165198,18.654279573885507,15.986927032470703,51,0.14056965510050456
