total,train,val,test,val_loss,test_loss,mean_px_err,median_px_err,epochs,time_min
606,454,152,152,0.00023377228200460146,0.00024187607509941844,27.330946598474227,8.654033682138225,131,6.685525214672088
500,375,125,152,0.0002348991056351224,0.00024221930040144607,19.644276056108357,7.898518349211621,167,7.024282117684682
300,225,75,152,0.0002327982016140595,0.00023593731135693625,18.217178580698295,8.367877097427705,300,7.681747484207153
200,150,50,152,0.00024750160186418464,0.00024760760195357233,78.13025054664229,19.2732405974934,300,5.108024116357168
100,75,25,152,0.00028198086511110887,0.0002792668574808263,149.25279222725302,159.12429706213513,300,2.638305115699768
50,37,13,152,0.00037255571805872023,0.0003722705541325635,159.0167441062494,158.24833943372988,300,1.3105368971824647
