total,train,val,test,val_loss,test_loss,mean_px_err,median_px_err,epochs,time_min
1374,1030,344,344,4.334134955738866,4.454181948373484,7.807311439496833,6.102123737335205,80,5.4796327471733095
1000,750,250,344,4.419374644756317,4.648033807444018,8.110365984701486,6.343262672424316,157,7.746660021940867
700,525,175,344,4.8182631514289165,4.62369270934615,8.042785593676706,6.281310081481934,94,3.2001160899798076
500,375,125,344,4.2328833639621735,4.678908203923425,8.215325371643832,6.603153705596924,85,2.064561216036479
300,225,75,344,5.690290999412537,5.373318522475486,9.315259858619335,7.028439283370972,59,0.8850463589032491
200,150,50,344,5.3086367930684775,4.93420849290005,8.596065930242455,6.840195417404175,107,1.064499572912852
100,75,25,344,4.158999919891357,5.52539351374604,9.486318318996318,7.852116584777832,93,0.48574530283610023
50,37,13,344,3.494320034980774,5.861674092536749,10.042619433687177,8.39328145980835,227,0.5828474640846253
